"경기도","주택이외의 거처",309735,262726,47009,44159,32668,10252,1239,2850,2585,195,21,49
"강원도","계",661039,547395,113644,105921,86273,16121,3527,7723,6707,752,70,194
"강원도","주택",641098,531680,109418,102131,83060,15640,3431,7287,6335,713,62,177
"강원도","단독주택",293979,230951,63028,57726,50184,6505,1037,5302,4587,560,31,124
"강원도","아파트",308932,267957,40975,39290,28793,8268,2229,1685,1475,137,29,44
"강원도","연립주택",15521,13832,1689,1617,1200,347,70,72,67,3,2,-
"강원도","다세대주택",9202,8077,1125,1074,839,161,74,51,51,-,-,-
"강원도","비거주용 건물 내 주택",13464,10863,2601,2424,2044,359,21,177,155,13,-,9
"강원도","주택이외의 거처",19941,15715,4226,3790,3213,481,96,436,372,39,8,17
"충청북도","계",678922,569226,109696,103106,82132,16736,4238,6590,5692,624,81,193
"충청북도","주택",658859,552941,105918,99697,79199,16355,4143,6221,5368,589,81,183
"충청북도","단독주택",286542,230347,56195,52148,44665,6227,1256,4047,3473,419,40,115
"충청북도","아파트",332619,288544,44075,42301,30491,9060,2750,1774,1554,141,38,41
"충청북도","연립주택",12607,11059,1548,1471,1116,324,31,77,74,-,3,-
"충청북도","다세대주택",15530,13391,2139,2044,1519,448,77,95,95,-,-,-
"충청북도","비거주용 건물 내 주택",11561,9600,1961,1733,1408,296,29,228,172,29,-,27
"충청북도","주택이외의 거처",20063,16285,3778,3409,2933,381,95,369,324,35,-,10
"충청남도","계",892222,734862,157360,145854,115810,24638,5406,11506,10025,1092,64,325
"충청남도","주택",854972,704023,150949,139969,111177,23578,5214,10980,9602,1026,64,288
"충청남도","단독주택",381479,298159,83320,75345,65464,8492,1389,7975,6881,827,27,240
"충청남도","아파트",413392,354605,58787,56445,39578,13385,3482,2342,2132,136,29,45
"충청남도","연립주택",16762,14517,2245,2107,1514,495,98,138,122,16,-,-
"충청남도","다세대주택",29934,25790,4144,3900,2877,846,177,244,224,17,-,3
"충청남도","비거주용 건물 내 주택",13405,10952,2453,2172,1744,360,68,281,243,30,8,-
"충청남도","주택이외의 거처",37250,30839,6411,5885,4633,1060,192,526,423,66,-,37
"전라북도","계",755575,645814,109761,103238,83750,15846,3642,6523,5626,598,91,208
"전라북도","주택",736140,630244,105896,99696,80635,15469,3592,6200,5344,578,91,187
"전라북도","단독주택",335270,271598,63672,59105,51640,6284,1181,4567,3872,502,41,152
"전라북도","아파트",366044,328057,37987,36611,25962,8356,2293,1376,1233,64,44,35
"전라북도","연립주택",13258,11976,1282,1233,917,301,15,49,49,-,-,-
"전라북도","다세대주택",10245,9102,1143,1089,750,284,55,54,48,-,6,-
"전라북도","비거주용 건물 내 주택",11323,9511,1812,1658,1366,244,48,154,142,12,-,-
"전라북도","주택이외의 거처",19435,15570,3865,3542,3115,377,50,323,282,20,-,21
"전라남도","계",761518,624566,136952,127438,107247,16897,3294,9514,8230,900,77,307
"전라남도","주택",731418,600928,130490,121573,102172,16175,3226,8917,7696,852,77,292
"전라남도","단독주택",392383,302747,89636,82518,74443,7103,972,7118,6068,757,31,262
"전라남도","아파트",303159,267180,35979,34494,24276,8120,2098,1485,1327,86,44,28
"전라남도","연립주택",13196,11680,1516,1442,981,389,72,74,67,4,1,2
"전라남도","다세대주택",8099,7107,992,944,684,228,32,48,46,1,1,-
"전라남도","비거주용 건물 내 주택",14581,12214,2367,2175,1788,335,52,192,188,4,-,-
"전라남도","주택이외의 거처",30100,23638,6462,5865,5075,722,68,597,534,48,-,15
"경상북도","계",1131819,962160,169659,159417,129626,23756,6035,10242,8861,926,184,271
"경상북도","주택",1094577,932909,161668,152076,123110,23018,5948,9592,8323,865,165,239
"경상북도","단독주택",538616,441406,97210,90112,78547,9668,1897,7098,6142,683,71,202
"경상북도","아파트",473622,419345,54277,52393,37304,11491,3598,1884,1595,165,88,36
"경상북도","연립주택",24106,21448,2658,2554,1889,486,179,104,97,-,6,1
"경상북도","다세대주택",37503,33132,4371,4165,3079,875,211,206,200,6,-,-
"경상북도","비거주용 건물 내 주택",20730,17578,3152,2852,2291,498,63,300,289,11,-,-
"경상북도","주택이외의 거처",37242,29251,7991,7341,6516,738,87,650,538,61,19,32
"경상남도","계",1350155,1150659,199496,188262,141713,38206,8343,11234,9936,808,231,259
